COMMUNICATION VS GAME:	 statistic= -3.175598316749093;	 p_value= 0.0014959791571109843;
DATING VS EDUCATION:	 statistic= -4.174408453843505;	 p_value= 3.0121603839912986e-05;
DATING VS EVENTS:	 statistic= 12.882452905101973;	 p_value= 9.758579616163874e-38;
DATING VS FINANCE:	 statistic= 10.075872103471472;	 p_value= 9.421454609032115e-24;
DATING VS FOOD_AND_DRINK:	 statistic= 7.2848221457548705;	 p_value= 3.3873250419068514e-13;
DATING VS HOUSE_AND_HOME:	 statistic= 9.867901103093098;	 p_value= 6.844204443041944e-23;
DATING VS LIBRARIES_AND_DEMO:	 statistic= 11.02540074703622;	 p_value= 4.071692093595709e-28;
DATING VS LIFESTYLE:	 statistic= 6.507244384582266;	 p_value= 7.945565332328831e-11;
DATING VS MEDICAL:	 statistic= 12.730602698638865;	 p_value= 6.195114954237335e-37;
DATING VS NEWS_AND_MAGAZINES:	 statistic= -2.2641157746527463;	 p_value= 0.023589306000772338;
DATING VS PARENTING:	 statistic= 12.20017335226686;	 p_value= 4.326677196787014e-34;
DATING VS PERSONALIZATION:	 statistic= 3.2049130347695836;	 p_value= 0.0013547074876210559;
DATING VS PHOTOGRAPHY:	 statistic= 5.438253951220575;	 p_value= 5.5577043444906166e-08;
DATING VS SHOPPING:	 statistic= -4.819244021846303;	 p_value= 1.469325346783615e-06;
DATING VS SOCIAL:	 statistic= -5.249759374623038;	 p_value= 1.5606897978649357e-07;
DATING VS SPORTS:	 statistic= 8.472583106820231;	 p_value= 2.6612237569035813e-17;
DATING VS TRAVEL_AND_LOCAL:	 statistic= 3.9590994581653165;	 p_value= 7.591369397172457e-05;
DATING VS VIDEO_PLAYERS:	 statistic= 3.649102026031561;	 p_value= 0.00026518535941445423;
DATING VS WEATHER:	 statistic= 8.109646592895198;	 p_value= 5.691549565933655e-16;
EDUCATION VS ENTERTAINMENT:	 statistic= 2.574213298656054;	 p_value= 0.010060940526801513;
EDUCATION VS EVENTS:	 statistic= 12.807267694293825;	 p_value= 2.6117153816287475e-37;
EDUCATION VS FINANCE:	 statistic= 9.440239069735323;	 p_value= 4.718404644745924e-21;
EDUCATION VS FOOD_AND_DRINK:	 statistic= 10.180323711462199;	 p_value= 2.95347191141562e-24;
EDUCATION VS HOUSE_AND_HOME:	 statistic= 11.420917471643081;	 p_value= 4.56821930276108e-30;
EDUCATION VS LIBRARIES_AND_DEMO:	 statistic= 10.96519398410659;	 p_value= 8.029328983916912e-28;
EDUCATION VS LIFESTYLE:	 statistic= 9.0553942184982;	 p_value= 1.570598413837022e-19;
EDUCATION VS MAPS_AND_NAVIGATION:	 statistic= 4.842480997938382;	 p_value= 1.296459912055375e-06;
EDUCATION VS MEDICAL:	 statistic= 13.553171175378397;	 p_value= 1.3603464568405144e-41;
EDUCATION VS MUSIC_AND_AUDIO:	 statistic= 3.0463673601134174;	 p_value= 0.0023244691417073295;
EDUCATION VS PARENTING:	 statistic= 13.998136401151102;	 p_value= 2.8993357715303843e-44;
EDUCATION VS PERSONALIZATION:	 statistic= 6.2835633302869125;	 p_value= 3.4345305082021335e-10;
EDUCATION VS PHOTOGRAPHY:	 statistic= 5.745853663321253;	 p_value= 9.553554550219818e-09;
EDUCATION VS SOCIAL:	 statistic= -2.5024099004405307;	 p_value= 0.012355612216752012;
EDUCATION VS SPORTS:	 statistic= 10.348528893280376;	 p_value= 5.392405141800197e-25;
EDUCATION VS TOOLS:	 statistic= 3.5692183445919565;	 p_value= 0.0003598910446274155;
EDUCATION VS TRAVEL_AND_LOCAL:	 statistic= 5.234895087791057;	 p_value= 1.6982622658409767e-07;
EDUCATION VS VIDEO_PLAYERS:	 statistic= 4.228538627188968;	 p_value= 2.386887419080154e-05;
EDUCATION VS WEATHER:	 statistic= 8.755046441574013;	 p_value= 2.4045126497606078e-18;
EDUCATION VS GAME:	 statistic= 6.284063457517077;	 p_value= 3.3183343784509385e-10;
ENTERTAINMENT VS EVENTS:	 statistic= 11.220426843358682;	 p_value= 4.4641461865111155e-29;
